t(s)	v_x(t)	v_y(t)	v_z(t)
1.48500000000000e+00	-5.78414071373606e-07	1.55800291799321e-07	-1.41381153971032e-06
1.49000000000000e+00	-2.97767427093418e-07	5.39798763678424e-08	-1.15027445493211e-06
1.49500000000000e+00	2.78882769952314e-08	1.08976612427348e-07	-4.54488271607513e-07
1.50000000000000e+00	1.16716899771570e-07	3.13196363439658e-07	7.48957936196092e-07
1.50500000000000e+00	2.45099871664538e-08	4.33246156075341e-07	1.40494895293698e-06
1.51000000000000e+00	-9.16757325980259e-09	2.53740032715769e-07	1.42863581334030e-06
1.51500000000000e+00	3.17115765061000e-08	-3.49005019088731e-08	5.44668506803050e-07
1.52000000000000e+00	2.57106927255005e-07	-2.60928100948384e-07	1.96551159344234e-07
1.52500000000000e+00	3.72862033560712e-07	-4.38566609795918e-07	2.17377147089860e-07
1.53000000000000e+00	2.38643380868675e-07	-4.25554440531380e-07	4.31603218648518e-07
